row,wavelength,n_real,n_imag,aa,bb
139,0.532,1.3,0.0,3,0.41
140,0.532,1.3,0.0,3,0.42
141,0.532,1.3,0.0,3,0.43
142,0.532,1.3,0.0,3,0.44
143,0.532,1.3,0.0,3,0.45
144,0.532,1.3,0.0,3,0.46
145,0.532,1.3,0.0,3,0.47
146,0.532,1.3,0.0,3,0.48
147,0.532,1.3,0.0,3,0.49
148,0.532,1.3,0.0,4,0.01
149,0.532,1.3,0.0,4,0.02
150,0.532,1.3,0.0,4,0.03
151,0.532,1.3,0.0,4,0.04
152,0.532,1.3,0.0,4,0.05
153,0.532,1.3,0.0,4,0.06
154,0.532,1.3,0.0,4,0.07
155,0.532,1.3,0.0,4,0.08
156,0.532,1.3,0.0,4,0.09
157,0.532,1.3,0.0,4,0.1
158,0.532,1.3,0.0,4,0.11
159,0.532,1.3,0.0,4,0.12
160,0.532,1.3,0.0,4,0.13
161,0.532,1.3,0.0,4,0.14
162,0.532,1.3,0.0,4,0.15
163,0.532,1.3,0.0,4,0.16
164,0.532,1.3,0.0,4,0.17
165,0.532,1.3,0.0,4,0.18
166,0.532,1.3,0.0,4,0.19
167,0.532,1.3,0.0,4,0.2
168,0.532,1.3,0.0,4,0.21
169,0.532,1.3,0.0,4,0.22
170,0.532,1.3,0.0,4,0.23
171,0.532,1.3,0.0,4,0.24
172,0.532,1.3,0.0,4,0.25
173,0.532,1.3,0.0,4,0.26
174,0.532,1.3,0.0,4,0.27
175,0.532,1.3,0.0,4,0.28
176,0.532,1.3,0.0,4,0.29
177,0.532,1.3,0.0,4,0.3
178,0.532,1.3,0.0,4,0.31
179,0.532,1.3,0.0,4,0.32
180,0.532,1.3,0.0,4,0.33
181,0.532,1.3,0.0,4,0.34
182,0.532,1.3,0.0,4,0.35
183,0.532,1.3,0.0,4,0.36
184,0.532,1.3,0.0,4,0.37
185,0.532,1.3,0.0,4,0.38
186,0.532,1.3,0.0,4,0.39
187,0.532,1.3,0.0,4,0.4
188,0.532,1.3,0.0,4,0.41
189,0.532,1.3,0.0,4,0.42
190,0.532,1.3,0.0,4,0.43
191,0.532,1.3,0.0,4,0.44
192,0.532,1.3,0.0,4,0.45
193,0.532,1.3,0.0,4,0.46
194,0.532,1.3,0.0,4,0.47
195,0.532,1.3,0.0,4,0.48
196,0.532,1.3,0.0,4,0.49
197,0.532,1.3,0.0,5,0.01
198,0.532,1.3,0.0,5,0.02
199,0.532,1.3,0.0,5,0.03
200,0.532,1.3,0.0,5,0.04
201,0.532,1.3,0.0,5,0.05
202,0.532,1.3,0.0,5,0.06
203,0.532,1.3,0.0,5,0.07
204,0.532,1.3,0.0,5,0.08
205,0.532,1.3,0.0,5,0.09
206,0.532,1.3,0.0,5,0.1
207,0.532,1.3,0.0,5,0.11
208,0.532,1.3,0.0,5,0.12
